,Unnamed: 0,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_z,tenure_z,TotalCharges_z
5805,5814,Male,Yes,No,No,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.6,330.25,No,-1.4691680364137156,-0.6690886177852331,-0.8616613732080647
4171,4178,Male,Yes,Yes,Yes,68,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,56.4,3948.45,No,-0.2791601637830144,1.4495973685829016,0.7346431130178748
2854,2859,Male,Yes,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.55,6306.5,No,0.7895200905487467,1.5310852911355222,1.7749852150976595
5497,5506,Male,Yes,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,-1.4824642137615447,-1.2802480369298874,-0.9984515467624158
6393,6402,Female,Yes,Yes,Yes,54,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),59.8,3246.45,No,-0.16614265632646738,0.8791819107145575,0.4249295125174576
5544,5553,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.7,55.7,Yes,-0.3024284741417151,-1.2802480369298874,-0.9827893917513547
3070,3075,Male,Yes,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.7,7472.15,No,1.359593694336918,1.5718292524118322,2.2892553837918355
2714,2719,Female,Yes,Yes,Yes,56,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72.6,4084.35,No,0.2593350188040626,0.9606698332671781,0.7946004895250068
5873,5882,Female,Yes,Yes,Yes,14,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.7,263.65,No,-1.499084435446331,-0.7505765403378537,-0.8910444583837452
6377,6386,Male,Yes,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),83.55,6093.3,No,0.6233178737008834,1.6125732136881425,1.6809240475382736
4969,4977,Male,Yes,Yes,Yes,24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20.8,469.65,No,-1.4625199477398012,-0.3431369275747509,-0.8001598405730815
6151,6160,Female,Yes,No,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.65,3348.1,No,0.8260845782552769,0.1457906077409725,0.4697762183449041
3120,3125,Male,Yes,No,No,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.0,78.9,No,-1.5223527458050319,-1.1580161531009565,-0.9725538425610274
6021,6030,Female,Yes,No,No,43,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.05,2076.2,Yes,-0.5234774225493735,0.4309983366751445,-0.09137011851617954
6051,6060,Female,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.1,713.6,No,0.7413214476628662,-0.9950403079957154,-0.6925321584618611
3011,3016,Female,Yes,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.3,196.15,Yes,-0.3157246514895444,-1.1987601143772668,-0.9208246122780162
6364,6373,Male,Yes,Yes,Yes,44,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.95,4122.9,No,0.9357780413748666,0.4717422979514547,0.8116082663046237
117,117,Female,Yes,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1.178433277972747,-0.9135523854430948,-0.5376532988383974
2316,2321,Female,Yes,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.45,6223.3,No,1.0188791497987983,1.3273654847539706,1.7382784180013138
1103,1107,Female,Yes,Yes,No,69,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),24.25,1641.8,No,-1.3478404181147754,1.4903413298592119,-0.2830219533557539
739,740,Female,Yes,No,No,47,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,65.0,2879.9,No,0.0067076491953105815,0.5939741817803856,0.26321224718493924
3012,3017,Female,Yes,Yes,Yes,18,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,61.5,1087.45,No,-0.10963390259819375,-0.5876006952326126,-0.5275942246341104
5195,5203,Male,Yes,No,Yes,3,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,70.7,225.65,No,0.19617817640187488,-1.1987601143772668,-0.907809582057557
5392,5401,Male,Yes,No,No,31,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,20.45,638.55,No,-1.4741541029191516,-0.05792919864057891,-0.7256432777176394
145,145,Female,Yes,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No,1.1385447459292597,1.3273654847539706,1.8236040737517134
1537,1542,Female,Yes,No,No,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,21.1,937.1,No,-1.4525478147289292,0.5532302205040753,-0.593926760011942
